ID,Gender,Car,Realty,Children,Salary,Income_Type,Education,Family_Status,House_Type,AGE,EXPERIENCE,Occupation_Type,Family_Size,Risk,ACCOUNT_DURATION
5008804,1,1,1,0,380250,2,1,0,2,32.1,12.5,12,2,0,16
5008805,1,1,1,0,380250,2,1,0,2,32.1,12.5,12,2,0,15
5008806,1,1,1,0,112500,2,2,0,0,58.1,3.1,17,2,0,30
5008808,0,0,1,0,270000,2,2,1,0,52.4,8.4,15,1,0,5
5008810,0,0,1,0,270000,2,2,1,0,52.4,8.4,15,1,0,27
5008811,0,0,1,0,270000,2,2,1,0,52.4,8.4,15,1,0,39
5008812,0,0,1,0,283500,0,1,1,0,61.6,0,12,1,0,17
5008815,1,1,1,0,270000,2,1,0,0,46.2,2.1,0,2,0,6
5112956,1,1,1,0,270000,2,1,0,0,46.2,2.1,0,2,0,43
5008819,1,1,1,0,135000,2,2,0,0,48.8,3.3,8,2,0,8
5008820,1,1,1,0,135000,2,2,0,0,48.8,3.3,8,2,0,9
5008823,1,1,1,0,135000,2,2,0,0,48.8,3.3,8,2,0,5
5008824,1,1,1,0,135000,2,2,0,0,48.8,3.3,8,2,0,4
5008825,0,1,0,0,130500,2,1,0,0,29.2,3,0,2,0,26
5008826,0,1,0,0,130500,2,1,0,0,29.2,3,0,2,0,30
5008830,0,0,1,0,157500,2,2,0,0,27.5,4,8,2,0,32
5008831,0,0,1,0,157500,2,2,0,0,27.5,4,8,2,0,20
5008832,0,0,1,0,157500,2,2,0,0,27.5,4,8,2,0,35
5008834,0,0,1,1,112500,2,2,1,0,30,4.5,12,2,0,45
5008835,0,0,1,1,112500,2,2,1,0,30,4.5,12,2,0,17
5008836,1,1,1,3,270000,2,2,0,0,34.9,3.2,8,5,0,17
5008838,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,31
5008839,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,14
5008840,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,56
5008841,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,5
5008842,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,9
5008843,1,0,1,1,380250,2,1,0,0,32.5,5.6,10,3,0,30
5008844,1,1,1,0,112500,2,2,0,0,56.2,12.2,4,2,0,33
5008846,1,1,1,0,112500,2,2,0,0,56.2,12.2,4,2,0,12
5008850,1,1,1,0,112500,2,2,0,0,56.2,12.2,4,2,0,26
5008852,1,1,1,0,112500,2,2,0,0,56.2,12.2,4,2,0,1
5008853,1,1,1,0,112500,2,2,0,0,56.2,12.2,4,2,0,16
5008854,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,2
5008855,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,29
5008856,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,4
5008857,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,28
5008858,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,11
5008859,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,5
5008862,0,1,1,2,135000,2,2,0,0,43.2,8.8,8,4,0,3
5008868,0,0,1,1,211500,2,2,0,0,44.5,19.475,3,3,0,25
5008870,0,0,1,1,211500,2,2,0,0,44.5,19.475,3,3,0,12
5008872,1,1,1,0,360000,2,2,0,0,45.8,14.8,17,2,0,11
5008873,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,22
5008874,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,46
5008875,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,40
5008876,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,44
5008877,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,8
5008878,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,12
5008880,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,11
5008881,0,0,1,2,126000,2,1,0,0,34,4.1,10,4,0,20
5008884,0,0,1,0,315000,0,2,1,0,55.3,0,12,1,0,41
5008888,0,0,1,0,247500,2,1,1,2,46.7,3.8,3,1,0,6
5008889,0,0,1,0,247500,2,1,1,2,46.7,3.8,3,1,0,5
5008891,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,8
5008892,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,16
5008893,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,37
5008895,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,35
5008898,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,21
5008914,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,19
5008916,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,18
5008918,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,17
5008921,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,14
5008923,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,13
5008926,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,12
5008927,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,10
5008930,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,7
5008931,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,6
5008934,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,5
5008936,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,4
5008937,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,2
5008939,0,0,1,0,297000,2,2,1,2,42.6,8.1,8,1,0,1
5008942,0,0,0,0,157500,2,1,0,0,37.4,13.3,6,2,0,16
5008943,0,0,0,0,157500,2,1,0,0,37.4,13.3,6,2,0,15
5008947,1,0,1,0,135000,2,2,0,0,42.5,3.1,4,2,0,13
5008949,1,0,1,0,135000,2,2,0,0,42.5,3.1,4,2,0,1
